time,home,away,1,X,2
19:00,AS Monaco,Nantes,1.533,4.71,6.63
21:00,Villarreal,Valencia,1.647,4.32,5.66
20:45,Milan,Hellas Verona,1.374,5.62,9.1
21:05,Toulouse,Paris Saint-Germain,6.26,4.71,1.554
15:00,Liverpool,Wolverhampton Wanderers,1.209,7.85,13.9
17:30,Tottenham Hotspur,Manchester United,2.365,3.82,2.931
15:00,Home,Away,1.308,7.75,6.05
14:00,Espanyol,Athletic Bilbao,5.19,3.65,1.821
16:15,Real Valladolid,Sevilla,4.095,3.56,2.039
18:30,Mallorca,Las Palmas,1.777,3.62,5.66
14:00,Home,Away,2.355,6.35,1.973
15:30,Werder Bremen,TSG 1899 Hoffenheim,1.925,4.22,3.86
17:30,Eintracht Frankfurt,Holstein,1.352,6.04,9.05
15:30,Home,Away,1.468,7.6,3.95
12:30,Fiorentina,Como,2.062,3.75,3.79
15:00,Monza 1912,Lecce,2.785,3.365,2.785
15:00,Udinese Calcio,Empoli,1.844,3.77,4.815
18:00,Parma,Roma,3.6,3.625,2.165
12:30,Home,Away,1.94,7.5,2.296
15:00,Montpellier HSC,Lyon,5.02,4.61,1.668
