1,X,2,1X,12,2X,O,U,home,away,time
5.15,4.20,1.60,2.23,1.19,1.14,1.63,2.20,Breda,Feyenoord,18:45
6.30,4.65,1.44,2.59,1.16,1.09,1.60,2.22,Karvina,Sparta Prague,19:00
1.62,3.70,5.20,1.11,1.22,2.12,2.00,1.73,Asociacion Deportiva Tarma,Atletico Grau,19:00
2.00,3.20,3.50,1.21,1.25,1.63,2.05,1.66,Caldas SC,SC Covilha,19:00
1.87,3.20,4.50,1.17,1.30,1.83,2.25,1.58,Dinamo Bucuresti 1948,Farul Constanta 1920,19:00
1.53,4.45,5.70,1.13,1.19,2.46,1.57,2.37,Monaco,Nantes,19:00
2.22,3.05,3.15,1.25,1.27,1.50,2.47,,Stade D abidjan,Racing Club Dabidjan,19:00
1.88,3.25,3.90,1.16,1.24,1.72,2.04,1.66,Capivariano,Oeste,19:00
1.77,3.15,4.65,1.11,1.25,1.82,2.35,1.50,EC Primavera SP,EC Taubate SP,19:00
2.15,3.05,3.30,1.23,1.27,1.54,2.20,1.57,Rio Claro,Portuguesa Santista,19:00
2.47,2.98,2.82,1.32,1.28,1.41,2.25,1.55,Santo Andre,Ituano,19:00
2.52,2.77,2.97,1.28,1.33,1.39,2.75,1.38,Desportivo Brasil SP,Catanduva FC SP,19:00
1.57,3.60,5.50,1.07,1.19,2.09,2.18,1.58,Rio Branco,Lemense FC SP,19:00
2.15,2.90,3.50,1.21,1.30,1.54,2.50,1.45,Rio Preto,AA Francana SP,19:00
2.60,2.88,2.75,1.33,1.30,1.37,2.35,1.50,Uniao Sao Joao EC SP,Sertaozinho,19:00
2.15,3.05,3.30,1.23,1.27,1.54,2.18,1.58,CA Taquaritinga SP,AA Internacional Bebedouro SP,19:00
2.20,3.15,3.05,1.27,1.25,1.51,1.97,1.72,Colorado Caieiras FC SP,CA Joseense SP,19:00
1.95,3.10,3.80,1.17,1.26,1.66,2.26,1.55,Nacional AC SP,Jabaquara AC SP,19:00
1.48,3.65,6.70,1.04,1.19,2.28,2.20,1.57,Paulista Jundiai,Uniao Barbarense,19:00
1.68,3.30,4.60,1.10,1.21,1.87,2.23,1.53,Sliema Wanderers,Gzira Utd,19:00
4.15,3.30,1.93,1.80,1.30,1.19,2.40,1.53,Santa Clara Azores,Benfica,19:00
2.85,3.70,2.18,1.58,1.22,1.35,1.43,2.62,Luzern II,Basel II,19:00
2.66,2.86,2.70,1.34,1.31,1.35,2.54,1.44,Bergantinos,Salamanca Uds,19:00
1.18,6.50,14.00,-,1.08,4.30,1.74,1.98,AEK Athens,Atromitos,19:00
2.12,3.15,3.30,1.23,1.25,1.55,2.04,1.66,CD Derio,Touring KE,19:00
1.67,3.50,4.70,1.11,1.21,1.94,2.00,1.68,SD Sarriana,Somozas,19:00
1.96,3.25,3.55,1.19,1.24,1.65,2.46,1.46,Caucaia,FC Atletico CE,19:30
1.57,4.45,4.60,1.15,1.16,2.21,1.40,2.74,Klubi 04,Keski-Uusimaa,19:30
1.17,5.80,10.75,,1.04,3.65,1.47,2.40,St Josephs,Lions Gibraltar,19:30
1.78,3.55,3.95,1.16,1.19,1.81,1.74,1.94,Miedz Legnica,ZKS Stal Rzeszow,19:30
